fund_name,filing_date,quarter,stock_symbol,cl,value_($000),shares,change,pct_change,inferred_transaction_type
140 Summer Partners LP,2/16/2021,Q4 2020,ALL,,"57,457","522,670",522670,,BUY
140 Summer Partners LP,2/16/2021,Q4 2020,TMUS,,"53,255","394,919",394919,,BUY
140 Summer Partners LP,2/16/2021,Q4 2020,MTG,,"50,609","4,032,606",4032606,,BUY
140 Summer Partners LP,2/16/2021,Q4 2020,VICI,,"47,309","1,855,243",1855243,,BUY
140 Summer Partners LP,2/16/2021,Q4 2020,RDN,,"41,261","2,037,569",2037569,,BUY
140 Summer Partners LP,2/16/2021,Q4 2020,AXTA,,"31,869","1,116,269",1116269,,BUY
140 Summer Partners LP,2/16/2021,Q4 2020,WCC,,"28,968","369,019",369019,,BUY
140 Summer Partners LP,2/16/2021,Q4 2020,SVC,,"25,102","2,184,673",2184673,,BUY
140 Summer Partners LP,2/16/2021,Q4 2020,BYD,,"22,256","518,546",518546,,BUY
140 Summer Partners LP,2/16/2021,Q4 2020,FE,,"18,133","592,400",592400,,BUY
140 Summer Partners LP,2/16/2021,Q4 2020,ALK,,"9,685","186,243",186243,,BUY
140 Summer Partners LP,5/17/2021,Q1 2021,VICI,,"47,309","1,855,243",-1855243,-100.0,SELL
140 Summer Partners LP,5/17/2021,Q1 2021,AXTA,,"31,869","1,116,269",-1116269,-100.0,SELL
140 Summer Partners LP,5/17/2021,Q1 2021,WCC,,"28,968","369,019",-369019,-100.0,SELL
140 Summer Partners LP,5/17/2021,Q1 2021,BYD,,"22,256","518,546",-518546,-100.0,SELL
140 Summer Partners LP,5/17/2021,Q1 2021,ALK,,"9,685","186,243",-186243,-100.0,SELL
140 Summer Partners LP,5/17/2021,Q1 2021,TMUS,,"55,894","446,119",51200,12.964683897204235,BUY
140 Summer Partners LP,5/17/2021,Q1 2021,HUM,,"53,035","126,500",126500,,BUY
140 Summer Partners LP,5/17/2021,Q1 2021,MTG,,"52,045","3,757,729",-274877,-6.816361429804944,SELL
140 Summer Partners LP,5/17/2021,Q1 2021,ALL,,"50,380","438,470",-84200,-16.10959113781162,SELL
140 Summer Partners LP,5/17/2021,Q1 2021,LNG,,"44,495","617,901",617901,,BUY
140 Summer Partners LP,5/17/2021,Q1 2021,BC,,"43,329","454,329",454329,,BUY
140 Summer Partners LP,5/17/2021,Q1 2021,RDN,,"40,373","1,736,469",-301100,-14.777413672862124,SELL
140 Summer Partners LP,5/17/2021,Q1 2021,RCL,,"33,292","388,879",388879,,BUY
140 Summer Partners LP,5/17/2021,Q1 2021,TNL,,"32,333","528,658",528658,,BUY
140 Summer Partners LP,5/17/2021,Q1 2021,FE,,"18,601","536,205",-56195,-9.48598919648886,SELL
140 Summer Partners LP,5/17/2021,Q1 2021,SVC,,"18,040","1,521,084",-663589,-30.374751736301036,SELL
140 Summer Partners LP,8/16/2021,Q2 2021,RCL,,"33,292","388,879",-388879,-100.0,SELL
140 Summer Partners LP,8/16/2021,Q2 2021,TMUS,,"79,196","546,819",100700,22.572452641559764,BUY
140 Summer Partners LP,8/16/2021,Q2 2021,ALL,,"69,755","534,770",96300,21.96273405250074,BUY
140 Summer Partners LP,8/16/2021,Q2 2021,BC,,"58,803","590,270",135941,29.92126850806354,BUY
140 Summer Partners LP,8/16/2021,Q2 2021,HUM,,"58,262","131,600",5100,4.0316205533596845,BUY
140 Summer Partners LP,8/16/2021,Q2 2021,LNG,,"58,073","669,501",51600,8.350852321002879,BUY
140 Summer Partners LP,8/16/2021,Q2 2021,MTG,,"43,206","3,176,912",-580817,-15.456596258005831,SELL
140 Summer Partners LP,8/16/2021,Q2 2021,TNL,,"39,044","656,758",128100,24.23116646300633,BUY
140 Summer Partners LP,8/16/2021,Q2 2021,LAD,,"34,899","101,557",101557,,BUY
140 Summer Partners LP,8/16/2021,Q2 2021,FE,,"33,977","913,105",376900,70.29028076948181,BUY
140 Summer Partners LP,8/16/2021,Q2 2021,RDN,,"26,887","1,208,390",-528079,-30.41108133804865,SELL
140 Summer Partners LP,8/16/2021,Q2 2021,SVC,,"24,285","1,927,341",406257,26.708386913543237,BUY
140 Summer Partners LP,8/16/2021,Q2 2021,LOW,,"17,069","88,000",88000,,BUY
140 Summer Partners LP,8/16/2021,Q2 2021,PAYO,,"3,111","300,000",300000,,BUY
140 Summer Partners LP,11/15/2021,Q3 2021,MTG,,"43,206","3,176,912",-3176912,-100.0,SELL
140 Summer Partners LP,11/15/2021,Q3 2021,TNL,,"39,044","656,758",-656758,-100.0,SELL
140 Summer Partners LP,11/15/2021,Q3 2021,LOW,,"17,069","88,000",-88000,-100.0,SELL
140 Summer Partners LP,11/15/2021,Q3 2021,PAYO,,"3,111","300,000",-300000,-100.0,SELL
140 Summer Partners LP,11/15/2021,Q3 2021,BC,,"68,366","717,601",127331,21.571653650024565,BUY
140 Summer Partners LP,11/15/2021,Q3 2021,HUM,,"67,946","174,600",43000,32.67477203647417,BUY
140 Summer Partners LP,11/15/2021,Q3 2021,ALL,,"67,089","526,970",-7800,-1.4585709744376087,SELL
140 Summer Partners LP,11/15/2021,Q3 2021,TMUS,,"66,208","518,219",-28600,-5.230249863300288,SELL
140 Summer Partners LP,11/15/2021,Q3 2021,LNG,,"58,915","603,201",-66300,-9.90289782987628,SELL
140 Summer Partners LP,11/15/2021,Q3 2021,LAD,,"48,906","154,257",52700,51.89204092283152,BUY
140 Summer Partners LP,11/15/2021,Q3 2021,FE,,"48,394","1,358,605",445500,48.78956965518752,BUY
140 Summer Partners LP,11/15/2021,Q3 2021,SVC,,"28,453","2,538,181",610840,31.693405577943913,BUY
140 Summer Partners LP,11/15/2021,Q3 2021,,,"21,405","1,022,200",1022200,,BUY
140 Summer Partners LP,11/15/2021,Q3 2021,RDN,,"6,487","285,521",-922869,-76.37178394392538,SELL
140 Summer Partners LP,2/14/2022,Q4 2021,LAD,,"48,906","154,257",-154257,-100.0,SELL
140 Summer Partners LP,2/14/2022,Q4 2021,RDN,,"6,487","285,521",-285521,-100.0,SELL
140 Summer Partners LP,2/14/2022,Q4 2021,LNG,,"80,355","792,301",189100,31.349417524175195,BUY
140 Summer Partners LP,2/14/2022,Q4 2021,HUM,,"76,725","165,406",-9194,-5.265750286368843,SELL
140 Summer Partners LP,2/14/2022,Q4 2021,BC,,"60,672","602,325",-115276,-16.06408017826062,SELL
140 Summer Partners LP,2/14/2022,Q4 2021,FE,,"55,128","1,325,505",-33100,-2.4363225514406324,SELL
140 Summer Partners LP,2/14/2022,Q4 2021,ALL,,"45,001","382,503",-144467,-27.414653585593108,SELL
140 Summer Partners LP,2/14/2022,Q4 2021,CMA,,"25,643","294,746",294746,,BUY
140 Summer Partners LP,2/14/2022,Q4 2021,MTB,,"20,357","132,550",132550,,BUY
140 Summer Partners LP,2/14/2022,Q4 2021,,,"15,746","736,471",-285729,-27.95235765994913,SELL
140 Summer Partners LP,2/14/2022,Q4 2021,ARIS,,"13,907","1,073,897",1073897,,BUY
140 Summer Partners LP,2/14/2022,Q4 2021,SVC,,"13,574","1,544,281",-993900,-39.157963911951114,SELL
140 Summer Partners LP,2/14/2022,Q4 2021,TMUS,,"5,892","50,800",-467419,-90.19719462235078,SELL
140 Summer Partners LP,5/16/2022,Q1 2022,FE,,"55,128","1,325,505",-1325505,-100.0,SELL
140 Summer Partners LP,5/16/2022,Q1 2022,MTB,,"20,357","132,550",-132550,-100.0,SELL
140 Summer Partners LP,5/16/2022,Q1 2022,ARIS,,"13,907","1,073,897",-1073897,-100.0,SELL
140 Summer Partners LP,5/16/2022,Q1 2022,TMUS,,"103,642","807,492",756692,1489.5511811023623,BUY
140 Summer Partners LP,5/16/2022,Q1 2022,LNG,,"94,754","683,401",-108900,-13.744776290828865,SELL
140 Summer Partners LP,5/16/2022,Q1 2022,ALL,,"75,738","546,803",164300,42.95391147258976,BUY
140 Summer Partners LP,5/16/2022,Q1 2022,HUM,,"75,287","173,006",7600,4.594754724737918,BUY
140 Summer Partners LP,5/16/2022,Q1 2022,TDY,,"61,361","129,829",129829,,BUY
140 Summer Partners LP,5/16/2022,Q1 2022,AXP,,"59,971","320,700",320700,,BUY
140 Summer Partners LP,5/16/2022,Q1 2022,BC,,"56,412","697,396",95071,15.784003652513178,BUY
140 Summer Partners LP,5/16/2022,Q1 2022,CMA,,"49,904","551,853",257107,87.23002178146608,BUY
140 Summer Partners LP,5/16/2022,Q1 2022,HIG,,"45,154","628,800",628800,,BUY
140 Summer Partners LP,5/16/2022,Q1 2022,,,"38,808","1,780,184",1043713,141.71813961445866,BUY
140 Summer Partners LP,5/16/2022,Q1 2022,RRX,,"29,622","199,100",199100,,BUY
140 Summer Partners LP,5/16/2022,Q1 2022,SVC,,"26,579","3,010,064",1465783,94.91685774803938,BUY
140 Summer Partners LP,5/16/2022,Q1 2022,BKNG,,"14,560","6,200",6200,,BUY
140 Summer Partners LP,8/15/2022,Q2 2022,AXP,,"59,971","320,700",-320700,-100.0,SELL
140 Summer Partners LP,8/15/2022,Q2 2022,CMA,,"49,904","551,853",-551853,-100.0,SELL
140 Summer Partners LP,8/15/2022,Q2 2022,HIG,,"45,154","628,800",-628800,-100.0,SELL
140 Summer Partners LP,8/15/2022,Q2 2022,SVC,,"26,579","3,010,064",-3010064,-100.0,SELL
140 Summer Partners LP,8/15/2022,Q2 2022,BKNG,,"14,560","6,200",-6200,-100.0,SELL
140 Summer Partners LP,8/15/2022,Q2 2022,LNG,,"91,339","686,601",3200,0.4682463151209904,BUY
140 Summer Partners LP,8/15/2022,Q2 2022,TMUS,,"82,526","613,392",-194100,-24.03738984410991,SELL
140 Summer Partners LP,8/15/2022,Q2 2022,ALL,,"63,555","501,502",-45301,-8.284702168788394,SELL
140 Summer Partners LP,8/15/2022,Q2 2022,TDY,,"46,562","124,129",-5700,-4.390390436651288,SELL
140 Summer Partners LP,8/15/2022,Q2 2022,BC,,"45,458","695,296",-2100,-0.3011201670213193,SELL
140 Summer Partners LP,8/15/2022,Q2 2022,HUM,,"41,895","89,506",-83500,-48.264222050102305,SELL
140 Summer Partners LP,8/15/2022,Q2 2022,CZR,,"40,323","1,052,813",1052813,,BUY
140 Summer Partners LP,8/15/2022,Q2 2022,,,"36,908","1,600,522",-179662,-10.092327534681807,SELL
140 Summer Partners LP,8/15/2022,Q2 2022,RRX,,"27,846","245,292",46192,23.200401808136615,BUY
140 Summer Partners LP,11/14/2022,Q3 2022,,,"36,908","1,600,522",-1600522,-100.0,SELL
140 Summer Partners LP,11/14/2022,Q3 2022,LNG,,"84,216","507,601",-179000,-26.070454310436485,SELL
140 Summer Partners LP,11/14/2022,Q3 2022,TMUS,,"70,331","524,192",-89200,-14.542087278608133,SELL
140 Summer Partners LP,11/14/2022,Q3 2022,CZR,,"50,078","1,552,313",499500,47.44432297093596,BUY
140 Summer Partners LP,11/14/2022,Q3 2022,RF,,"46,040","2,293,957",2293957,,BUY
140 Summer Partners LP,11/14/2022,Q3 2022,RRX,,"44,871","319,682",74390,30.327120330055607,BUY
140 Summer Partners LP,11/14/2022,Q3 2022,TDY,,"35,545","105,329",-18800,-15.14553408147975,SELL
140 Summer Partners LP,11/14/2022,Q3 2022,HUM,,"31,152","64,206",-25300,-28.26626147967734,SELL
140 Summer Partners LP,11/14/2022,Q3 2022,ALL,,"30,647","246,102",-255400,-50.92701524620041,SELL
140 Summer Partners LP,11/14/2022,Q3 2022,BC,,"29,753","454,596",-240700,-34.61834959499264,SELL
140 Summer Partners LP,11/14/2022,Q3 2022,HCA,,"19,518","106,200",106200,,BUY
140 Summer Partners LP,2/13/2023,Q4 2022,RRX,,"44,871","319,682",-319682,-100.0,SELL
140 Summer Partners LP,2/13/2023,Q4 2022,TDY,,"35,545","105,329",-105329,-100.0,SELL
140 Summer Partners LP,2/13/2023,Q4 2022,ALL,,"30,647","246,102",-246102,-100.0,SELL
140 Summer Partners LP,2/13/2023,Q4 2022,BC,,"29,753","454,596",-454596,-100.0,SELL
140 Summer Partners LP,2/13/2023,Q4 2022,HCA,,"19,518","106,200",-106200,-100.0,SELL
140 Summer Partners LP,2/13/2023,Q4 2022,TMUS,,"70,758","505,420",-18772,-3.5811305781087848,SELL
140 Summer Partners LP,2/13/2023,Q4 2022,LNG,,"66,552","443,801",-63800,-12.568927169174213,SELL
140 Summer Partners LP,2/13/2023,Q4 2022,CZR,,"55,528","1,334,813",-217500,-14.011349515207309,SELL
140 Summer Partners LP,2/13/2023,Q4 2022,ELV,,"48,168","93,901",93901,,BUY
140 Summer Partners LP,2/13/2023,Q4 2022,TPX,,"46,517","1,355,000",1355000,,BUY
140 Summer Partners LP,2/13/2023,Q4 2022,V,,"34,716","167,100",167100,,BUY
140 Summer Partners LP,2/13/2023,Q4 2022,RF,,"32,623","1,513,157",-780800,-34.03725527549121,SELL
140 Summer Partners LP,2/13/2023,Q4 2022,HUM,,"30,324","59,206",-5000,-7.787434196181042,SELL
140 Summer Partners LP,5/15/2023,Q1 2023,RF,,"32,623","1,513,157",-1513157,-100.0,SELL
140 Summer Partners LP,5/15/2023,Q1 2023,HUM,,"30,324","59,206",-59206,-100.0,SELL
140 Summer Partners LP,5/15/2023,Q1 2023,TMUS,,"73,176","505,220",-200,-0.0395710498199517,SELL
140 Summer Partners LP,5/15/2023,Q1 2023,DFS,,"65,218","659,839",659839,,BUY
140 Summer Partners LP,5/15/2023,Q1 2023,ELV,,"61,063","132,801",38900,41.42660887530485,BUY
140 Summer Partners LP,5/15/2023,Q1 2023,CZR,,"58,274","1,193,913",-140900,-10.55578571680078,SELL
140 Summer Partners LP,5/15/2023,Q1 2023,TPX,,"48,501","1,228,200",-126800,-9.357933579335793,SELL
140 Summer Partners LP,5/15/2023,Q1 2023,LNG,,"48,462","307,501",-136300,-30.711963244787643,SELL
140 Summer Partners LP,5/15/2023,Q1 2023,RRX,,"37,755","268,282",268282,,BUY
140 Summer Partners LP,5/15/2023,Q1 2023,V,,"35,690","158,300",-8800,-5.266307600239378,SELL
140 Summer Partners LP,5/15/2023,Q1 2023,WAL,,"16,081","452,500",452500,,BUY
140 Summer Partners LP,8/14/2023,Q2 2023,LNG,,"48,462","307,501",-307501,-100.0,SELL
140 Summer Partners LP,8/14/2023,Q2 2023,DFS,,"62,285","533,039",-126800,-19.216808948849643,SELL
140 Summer Partners LP,8/14/2023,Q2 2023,ELV,,"62,201","140,001",7200,5.421645921340954,BUY
140 Summer Partners LP,8/14/2023,Q2 2023,CZR,,"59,457","1,166,513",-27400,-2.294974591951005,SELL
140 Summer Partners LP,8/14/2023,Q2 2023,TMUS,,"56,937","409,920",-95300,-18.863069553857727,SELL
140 Summer Partners LP,8/14/2023,Q2 2023,V,,"51,058","215,000",56700,35.818066961465576,BUY
140 Summer Partners LP,8/14/2023,Q2 2023,TPX,,"42,666","1,064,800",-163400,-13.304022146230254,SELL
140 Summer Partners LP,8/14/2023,Q2 2023,WAL,,"40,564","1,112,259",659759,145.80309392265193,BUY
140 Summer Partners LP,8/14/2023,Q2 2023,RRX,,"36,794","239,082",-29200,-10.884069747504492,SELL
140 Summer Partners LP,2/13/2024,Q4 2023,DFS,,"62,285","533,039",-533039,-100.0,SELL
140 Summer Partners LP,2/13/2024,Q4 2023,WAL,,"71,179","1,081,915",-30344,-2.728141556957507,SELL
140 Summer Partners LP,2/13/2024,Q4 2023,CZR,,"71,041","1,515,395",348882,29.90811075401646,BUY
140 Summer Partners LP,2/13/2024,Q4 2023,TMUS,,"62,499","389,820",-20100,-4.903395784543325,SELL
140 Summer Partners LP,2/13/2024,Q4 2023,PGR,,"60,733","381,300",381300,,BUY
140 Summer Partners LP,2/13/2024,Q4 2023,TPX,,"53,299","1,045,700",-19100,-1.793764087152517,SELL
140 Summer Partners LP,2/13/2024,Q4 2023,V,,"45,118","173,300",-41700,-19.395348837209305,SELL
140 Summer Partners LP,2/13/2024,Q4 2023,ELV,,"34,993","74,209",-65792,-46.99395004321398,SELL
140 Summer Partners LP,2/13/2024,Q4 2023,HUM,,"23,806","52,000",52000,,BUY
140 Summer Partners LP,2/13/2024,Q4 2023,RRX,,"16,021","108,240",-130842,-54.726830125229,SELL
140 Summer Partners LP,5/14/2024,Q1 2024,RRX,,"16,021","108,240",-108240,-100.0,SELL
140 Summer Partners LP,5/14/2024,Q1 2024,PGR,,"76,440","369,600",-11700,-3.068450039339103,SELL
