fund_name,filing_date,quarter,stock_symbol,cl,value_($000),shares,change,pct_change,inferred_transaction_type
"a16z Perennial Management, L.P.",2/5/2024,Q4 2023,COIN,,"147,645",848930,848930,,BUY
"a16z Perennial Management, L.P.",2/5/2024,Q4 2023,ABNB,,"124,818",916841,916841,,BUY
"a16z Perennial Management, L.P.",2/5/2024,Q4 2023,MSFT,,"14,670",39012,39012,,BUY
"a16z Perennial Management, L.P.",2/5/2024,Q4 2023,CRM,,"11,138",42328,42328,,BUY
"a16z Perennial Management, L.P.",2/5/2024,Q4 2023,DOCN,,"3,139",85580,85580,,BUY
"a16z Perennial Management, L.P.",2/5/2024,Q4 2023,AMZN,,"1,446",9520,9520,,BUY
"a16z Perennial Management, L.P.",2/5/2024,Q4 2023,HOOD,,"1,132",88871,88871,,BUY
"a16z Perennial Management, L.P.",2/5/2024,Q4 2023,AFRM,,"1,107",22535,22535,,BUY
"a16z Perennial Management, L.P.",2/5/2024,Q4 2023,RCKT,,339,11335,11335,,BUY
"a16z Perennial Management, L.P.",2/5/2024,Q4 2023,IVVD,,314,79869,79869,,BUY
"a16z Perennial Management, L.P.",2/5/2024,Q4 2023,NFLX,,273,562,562,,BUY
"a16z Perennial Management, L.P.",2/5/2024,Q4 2023,PD,,148,6403,6403,,BUY
"a16z Perennial Management, L.P.",2/5/2024,Q4 2023,IOT,,85,2566,2566,,BUY
"a16z Perennial Management, L.P.",2/5/2024,Q4 2023,CRIS,,84,6653,6653,,BUY
"a16z Perennial Management, L.P.",2/5/2024,Q4 2023,ADVWW,,68,18867,18867,,BUY
"a16z Perennial Management, L.P.",2/5/2024,Q4 2023,SPLK,,59,389,389,,BUY
"a16z Perennial Management, L.P.",2/5/2024,Q4 2023,LYFT,,33,2244,2244,,BUY
"a16z Perennial Management, L.P.",2/5/2024,Q4 2023,OPEN,,26,5988,5988,,BUY
"a16z Perennial Management, L.P.",2/5/2024,Q4 2023,NOW,,4,6,6,,BUY
"a16z Perennial Management, L.P.",2/5/2024,Q4 2023,DIS,,1,22,22,,BUY
"a16z Perennial Management, L.P.",5/10/2024,Q1 2024,SPLK,,59,389,-389,-100.0,SELL
"a16z Perennial Management, L.P.",5/10/2024,Q1 2024,COIN,,"501,908",1893137,1044207,123.00272107240879,BUY
"a16z Perennial Management, L.P.",5/10/2024,Q1 2024,ABNB,,"119,470",724241,-192600,-21.006913957818206,SELL
"a16z Perennial Management, L.P.",5/10/2024,Q1 2024,MSFT,,"8,419",20012,-19000,-48.70296319081308,SELL
"a16z Perennial Management, L.P.",5/10/2024,Q1 2024,AFRM,,"7,173",192535,170000,754.3820723319282,BUY
"a16z Perennial Management, L.P.",5/10/2024,Q1 2024,CRM,,"4,074",13528,-28800,-68.04006804006804,SELL
"a16z Perennial Management, L.P.",5/10/2024,Q1 2024,DOCN,,"3,267",85580,0,0.0,HOLD
"a16z Perennial Management, L.P.",5/10/2024,Q1 2024,HOOD,,"1,788",88871,0,0.0,HOLD
"a16z Perennial Management, L.P.",5/10/2024,Q1 2024,AMZN,,"1,717",9520,0,0.0,HOLD
"a16z Perennial Management, L.P.",5/10/2024,Q1 2024,NET,,720,7440,7440,,BUY
"a16z Perennial Management, L.P.",5/10/2024,Q1 2024,IVVD,,354,79869,0,0.0,HOLD
"a16z Perennial Management, L.P.",5/10/2024,Q1 2024,NFLX,,341,562,0,0.0,HOLD
"a16z Perennial Management, L.P.",5/10/2024,Q1 2024,RCKT,,305,11335,0,0.0,HOLD
"a16z Perennial Management, L.P.",5/10/2024,Q1 2024,PD,,145,6403,0,0.0,HOLD
"a16z Perennial Management, L.P.",5/10/2024,Q1 2024,IOT,,96,2566,0,0.0,HOLD
"a16z Perennial Management, L.P.",5/10/2024,Q1 2024,ADVWW,,81,18867,0,0.0,HOLD
"a16z Perennial Management, L.P.",5/10/2024,Q1 2024,CRIS,,72,6653,0,0.0,HOLD
"a16z Perennial Management, L.P.",5/10/2024,Q1 2024,LYFT,,43,2244,0,0.0,HOLD
"a16z Perennial Management, L.P.",5/10/2024,Q1 2024,OPEN,,18,5988,0,0.0,HOLD
"a16z Perennial Management, L.P.",5/10/2024,Q1 2024,CART,,8,222,222,,BUY
"a16z Perennial Management, L.P.",5/10/2024,Q1 2024,NOW,,4,6,0,0.0,HOLD
"a16z Perennial Management, L.P.",5/10/2024,Q1 2024,DIS,,2,22,0,0.0,HOLD
"a16z Perennial Management, L.P.",7/22/2024,Q2 2024,PD,,145,6403,-6403,-100.0,SELL
"a16z Perennial Management, L.P.",7/22/2024,Q2 2024,ADVWW,,81,18867,-18867,-100.0,SELL
"a16z Perennial Management, L.P.",7/22/2024,Q2 2024,COIN,,"413,894",1862462,-30675,-1.620326473995279,SELL
"a16z Perennial Management, L.P.",7/22/2024,Q2 2024,ABNB,,"93,727",618131,-106110,-14.651200360101127,SELL
"a16z Perennial Management, L.P.",7/22/2024,Q2 2024,MSFT,,"8,944",20012,0,0.0,HOLD
"a16z Perennial Management, L.P.",7/22/2024,Q2 2024,AFRM,,"5,290",175120,-17415,-9.045108681538421,SELL
"a16z Perennial Management, L.P.",7/22/2024,Q2 2024,CRM,,"3,478",13528,0,0.0,HOLD
"a16z Perennial Management, L.P.",7/22/2024,Q2 2024,HOOD,,"2,018",88871,0,0.0,HOLD
"a16z Perennial Management, L.P.",7/22/2024,Q2 2024,AMZN,,"1,839",9520,0,0.0,HOLD
"a16z Perennial Management, L.P.",7/22/2024,Q2 2024,NET,,616,7440,0,0.0,HOLD
"a16z Perennial Management, L.P.",7/22/2024,Q2 2024,CART,,596,18558,18336,8259.45945945946,BUY
"a16z Perennial Management, L.P.",7/22/2024,Q2 2024,NFLX,,379,562,0,0.0,HOLD
"a16z Perennial Management, L.P.",7/22/2024,Q2 2024,RCKT,,244,11335,0,0.0,HOLD
"a16z Perennial Management, L.P.",7/22/2024,Q2 2024,DOCN,,107,3088,-82492,-96.3916802991353,SELL
"a16z Perennial Management, L.P.",7/22/2024,Q2 2024,IVVD,,87,79869,0,0.0,HOLD
"a16z Perennial Management, L.P.",7/22/2024,Q2 2024,IOT,,86,2566,0,0.0,HOLD
"a16z Perennial Management, L.P.",7/22/2024,Q2 2024,ADV,,60,18867,18867,,BUY
"a16z Perennial Management, L.P.",7/22/2024,Q2 2024,CRIS,,45,6653,0,0.0,HOLD
"a16z Perennial Management, L.P.",7/22/2024,Q2 2024,LYFT,,31,2244,0,0.0,HOLD
"a16z Perennial Management, L.P.",7/22/2024,Q2 2024,OPEN,,8,4422,-1566,-26.152304609218437,SELL
"a16z Perennial Management, L.P.",7/22/2024,Q2 2024,NOW,,4,6,0,0.0,HOLD
"a16z Perennial Management, L.P.",7/22/2024,Q2 2024,DIS,,2,22,0,0.0,HOLD
"a16z Perennial Management, L.P.",10/24/2024,Q3 2024,COIN,,"413,894",1862462,-1862462,-100.0,SELL
"a16z Perennial Management, L.P.",10/24/2024,Q3 2024,ADV,,60,18867,-18867,-100.0,SELL
"a16z Perennial Management, L.P.",10/24/2024,Q3 2024,,,"314,926",1767562,1767562,,BUY
"a16z Perennial Management, L.P.",10/24/2024,Q3 2024,ABNB,,"68,684",541631,-76500,-12.376017381428856,SELL
"a16z Perennial Management, L.P.",10/24/2024,Q3 2024,IOT,,"11,047",229586,227020,8847.233047544818,BUY
"a16z Perennial Management, L.P.",10/24/2024,Q3 2024,CART,,"8,724",214160,195602,1054.0036641879515,BUY
"a16z Perennial Management, L.P.",10/24/2024,Q3 2024,MSFT,,"7,621",17712,-2300,-11.49310413751749,SELL
"a16z Perennial Management, L.P.",10/24/2024,Q3 2024,AFRM,,"5,572",136520,-38600,-22.04202832343536,SELL
"a16z Perennial Management, L.P.",10/24/2024,Q3 2024,CRM,,"2,635",9628,-3900,-28.829095209934952,SELL
"a16z Perennial Management, L.P.",10/24/2024,Q3 2024,HOOD,,"2,081",88871,0,0.0,HOLD
"a16z Perennial Management, L.P.",10/24/2024,Q3 2024,AMZN,,"1,773",9520,0,0.0,HOLD
