fund_name,filing_date,quarter,stock_symbol,cl,value_($000),shares,change,pct_change,inferred_transaction_type
11 Capital Partners LP,2/12/2021,Q4 2020,ROST,,"24,447","199,061",199061,,BUY
11 Capital Partners LP,2/12/2021,Q4 2020,CNNE,,"24,159","545,716",545716,,BUY
11 Capital Partners LP,2/12/2021,Q4 2020,ROP,,"22,118","51,308",51308,,BUY
11 Capital Partners LP,2/12/2021,Q4 2020,V,,"21,688","99,153",99153,,BUY
11 Capital Partners LP,2/12/2021,Q4 2020,AMZN,,"20,382","6,258",6258,,BUY
11 Capital Partners LP,2/12/2021,Q4 2020,CSX,,"19,904","219,329",219329,,BUY
11 Capital Partners LP,2/12/2021,Q4 2020,EW,,"18,792","205,983",205983,,BUY
11 Capital Partners LP,2/12/2021,Q4 2020,TDY,,"18,269","46,606",46606,,BUY
11 Capital Partners LP,2/12/2021,Q4 2020,SHW,,"18,259","24,845",24845,,BUY
11 Capital Partners LP,2/12/2021,Q4 2020,IAC1.MX,,"17,613","93,018",93018,,BUY
11 Capital Partners LP,2/12/2021,Q4 2020,LBRDK,,"17,110","108,041",108041,,BUY
11 Capital Partners LP,2/12/2021,Q4 2020,SBUX,,"14,432","134,905",134905,,BUY
11 Capital Partners LP,2/12/2021,Q4 2020,DHR,,"14,263","64,209",64209,,BUY
11 Capital Partners LP,2/12/2021,Q4 2020,ADSK,,"12,961","42,448",42448,,BUY
11 Capital Partners LP,2/12/2021,Q4 2020,ARMK,,"9,111","236,760",236760,,BUY
11 Capital Partners LP,2/12/2021,Q4 2020,CPRT,,"9,020","70,888",70888,,BUY
11 Capital Partners LP,2/12/2021,Q4 2020,,,"9,010","176,638",176638,,BUY
11 Capital Partners LP,5/17/2021,Q1 2021,V,,"21,688","99,153",-99153,-100.0,SELL
11 Capital Partners LP,5/17/2021,Q1 2021,CPRT,,"9,020","70,888",-70888,-100.0,SELL
11 Capital Partners LP,5/17/2021,Q1 2021,,,"9,010","176,638",-176638,-100.0,SELL
11 Capital Partners LP,5/17/2021,Q1 2021,CNNE,,"27,547","695,273",149557,27.40564689325583,BUY
11 Capital Partners LP,5/17/2021,Q1 2021,AMZN,,"27,138","8,771",2513,40.15659955257271,BUY
11 Capital Partners LP,5/17/2021,Q1 2021,MSFT,,"26,611","112,870",112870,,BUY
11 Capital Partners LP,5/17/2021,Q1 2021,CSX,,"23,959","248,489",29160,13.295095495807669,BUY
11 Capital Partners LP,5/17/2021,Q1 2021,EW,,"22,491","268,906",62923,30.54766655500697,BUY
11 Capital Partners LP,5/17/2021,Q1 2021,ROST,,"22,211","185,231",-13830,-6.947619071540885,SELL
11 Capital Partners LP,5/17/2021,Q1 2021,TDY,,"20,346","49,186",2580,5.5357679268763675,BUY
11 Capital Partners LP,5/17/2021,Q1 2021,SHW,,"19,625","26,592",1747,7.031595894546186,BUY
11 Capital Partners LP,5/17/2021,Q1 2021,LBRDK,,"19,483","129,758",21717,20.100702511083753,BUY
11 Capital Partners LP,5/17/2021,Q1 2021,SBUX,,"16,834","154,055",19150,14.1951743819725,BUY
11 Capital Partners LP,5/17/2021,Q1 2021,ADSK,,"15,410","55,602",13154,30.988503580851866,BUY
11 Capital Partners LP,5/17/2021,Q1 2021,ROP,,"14,934","37,026",-14282,-27.835815077570746,SELL
11 Capital Partners LP,5/17/2021,Q1 2021,IAC1.MX,,"13,904","64,276",-28742,-30.899395815863596,SELL
11 Capital Partners LP,5/17/2021,Q1 2021,DHR,,"13,485","59,912",-4297,-6.692208257409398,SELL
11 Capital Partners LP,5/17/2021,Q1 2021,ARMK,,"9,835","260,310",23550,9.946781550937658,BUY
11 Capital Partners LP,8/16/2021,Q2 2021,ROP,,"14,934","37,026",-37026,-100.0,SELL
11 Capital Partners LP,8/16/2021,Q2 2021,IAC1.MX,,"13,904","64,276",-64276,-100.0,SELL
